0.0129,	-0.0002,	12.0561,	2017-05-30 15:11:48.065885
0.0129,	-0.0003,	12.0629,	2017-05-30 15:11:48.068126
0.0145,	0.0000,	12.0595,	2017-05-30 15:11:48.071500
0.0145,	-0.0002,	12.0595,	2017-05-30 15:11:48.074870
0.0177,	-0.0003,	12.0833,	2017-05-30 15:11:48.078339
0.0113,	0.0000,	12.0459,	2017-05-30 15:11:48.081756
0.0177,	-0.0003,	12.0697,	2017-05-30 15:11:48.085114
0.0129,	0.0002,	12.0697,	2017-05-30 15:11:48.088484
0.0145,	0.0000,	12.0731,	2017-05-30 15:11:48.091963
0.0226,	0.0002,	12.0595,	2017-05-30 15:11:48.095405
0.0129,	-0.0002,	12.0357,	2017-05-30 15:11:48.098762
0.0145,	-0.0002,	12.0663,	2017-05-30 15:11:48.102123
0.0161,	0.0002,	12.0629,	2017-05-30 15:11:48.105476
0.0145,	0.0000,	12.0697,	2017-05-30 15:11:48.108888
0.0161,	0.0003,	12.0459,	2017-05-30 15:11:48.112351
0.0145,	-0.0003,	12.0731,	2017-05-30 15:11:48.115748
0.0113,	0.0000,	12.0493,	2017-05-30 15:11:48.119124
0.0161,	0.0000,	12.0697,	2017-05-30 15:11:48.122521
0.1241,	0.1154,	12.0153,	2017-05-30 15:11:48.125914
0.0161,	0.0061,	12.0595,	2017-05-30 15:11:48.129389
0.0081,	0.0013,	12.0459,	2017-05-30 15:11:48.132884
0.0129,	0.0113,	12.0391,	2017-05-30 15:11:48.136131
0.0113,	0.0074,	12.0561,	2017-05-30 15:11:48.139505
0.0145,	0.0044,	12.0323,	2017-05-30 15:11:48.142897
0.0129,	0.0032,	12.0595,	2017-05-30 15:11:48.146366
0.0145,	0.0055,	12.0493,	2017-05-30 15:11:48.149783
0.0097,	0.0045,	12.0459,	2017-05-30 15:11:48.153173
0.0193,	0.0077,	12.0459,	2017-05-30 15:11:48.156513
0.0113,	0.0063,	12.0527,	2017-05-30 15:11:48.159902
0.0161,	0.0063,	12.0459,	2017-05-30 15:11:48.163466
0.0129,	0.0073,	12.0255,	2017-05-30 15:11:48.166789
0.0161,	0.0079,	12.0459,	2017-05-30 15:11:48.170123
0.0145,	0.0055,	12.0391,	2017-05-30 15:11:48.173486
0.0161,	0.0039,	12.0663,	2017-05-30 15:11:48.176878
0.0113,	0.0079,	12.0357,	2017-05-30 15:11:48.180350
0.0161,	0.0029,	12.0187,	2017-05-30 15:11:48.183725
0.0145,	0.0044,	12.0595,	2017-05-30 15:11:48.187114
0.0161,	0.0082,	12.0663,	2017-05-30 15:11:48.190501
